{'epoch': 124, 'train_loss': 1.3768005, 'valid_loss': 3.7449405, 'lr': [0.008]}
{'epoch': 125, 'train_loss': 1.4225663, 'valid_loss': 3.7835708, 'lr': [0.008]}
{'epoch': 126, 'train_loss': 1.4338646, 'valid_loss': 3.7665088, 'lr': [0.008]}
{'epoch': 127, 'train_loss': 1.463369, 'valid_loss': 3.7561367, 'lr': [0.008]}
{'epoch': 128, 'train_loss': 1.4391797, 'valid_loss': 3.8137956, 'lr': [0.008]}
{'epoch': 129, 'train_loss': 1.4672265, 'valid_loss': 3.8255017, 'lr': [0.008]}
{'epoch': 130, 'train_loss': 1.4666597, 'valid_loss': 3.8219976, 'lr': [0.008]}
{'epoch': 131, 'train_loss': 1.4439875, 'valid_loss': 3.797055, 'lr': [0.008]}
{'epoch': 132, 'train_loss': 1.428381, 'valid_loss': 3.7971954, 'lr': [0.008]}
{'epoch': 133, 'train_loss': 1.4101351, 'valid_loss': 3.7936509, 'lr': [0.008]}
{'epoch': 134, 'train_loss': 1.4081167, 'valid_loss': 3.785382, 'lr': [0.008]}
{'epoch': 135, 'train_loss': 1.384835, 'valid_loss': 3.7833543, 'lr': [0.008]}
{'epoch': 136, 'train_loss': 1.3757675, 'valid_loss': 3.7892613, 'lr': [0.008]}
{'epoch': 137, 'train_loss': 1.3559165, 'valid_loss': 3.7773776, 'lr': [0.008]}
{'epoch': 138, 'train_loss': 1.370962, 'valid_loss': 3.7753978, 'lr': [0.008]}
{'epoch': 139, 'train_loss': 1.3544834, 'valid_loss': 3.7464333, 'lr': [0.008]}
{'epoch': 140, 'train_loss': 1.3375183, 'valid_loss': 3.7377412, 'lr': [0.008]}
{'epoch': 141, 'train_loss': 1.3504622, 'valid_loss': 3.7419524, 'lr': [0.008]}
{'epoch': 142, 'train_loss': 1.3496145, 'valid_loss': 3.6945686, 'lr': [0.008]}
{'epoch': 143, 'train_loss': 1.3339502, 'valid_loss': 3.6942434, 'lr': [0.008]}
{'epoch': 144, 'train_loss': 1.3233386, 'valid_loss': 3.6455548, 'lr': [0.008]}
{'epoch': 145, 'train_loss': 1.3082699, 'valid_loss': 3.6512501, 'lr': [0.008]}
{'epoch': 146, 'train_loss': 1.3047297, 'valid_loss': 3.6753402, 'lr': [0.008]}
{'epoch': 147, 'train_loss': 1.2603568, 'valid_loss': 3.6496348, 'lr': [0.008]}
{'epoch': 148, 'train_loss': 1.2526393, 'valid_loss': 3.6300423, 'lr': [0.008]}
{'epoch': 149, 'train_loss': 1.2557871, 'valid_loss': 3.6275263, 'lr': [0.008]}
{'epoch': 150, 'train_loss': 1.2517546, 'valid_loss': 3.6261425, 'lr': [0.008]}
{'epoch': 151, 'train_loss': 1.2349014, 'valid_loss': 3.6137242, 'lr': [0.008]}
{'epoch': 152, 'train_loss': 1.2272336, 'valid_loss': 3.5876274, 'lr': [0.008]}
{'epoch': 153, 'train_loss': 1.2185818, 'valid_loss': 3.5686603, 'lr': [0.008]}
{'epoch': 154, 'train_loss': 1.2077267, 'valid_loss': 3.574873, 'lr': [0.008]}
{'epoch': 155, 'train_loss': 1.2022947, 'valid_loss': 3.5789137, 'lr': [0.008]}
{'epoch': 156, 'train_loss': 1.1649816, 'valid_loss': 3.579537, 'lr': [0.008]}
{'epoch': 157, 'train_loss': 1.1668262, 'valid_loss': 3.5757575, 'lr': [0.008]}
{'epoch': 158, 'train_loss': 1.160184, 'valid_loss': 3.5486286, 'lr': [0.008]}
{'epoch': 159, 'train_loss': 1.1473968, 'valid_loss': 3.5604527, 'lr': [0.008]}
{'epoch': 160, 'train_loss': 1.1480851, 'valid_loss': 3.5236058, 'lr': [0.008]}
{'epoch': 161, 'train_loss': 1.1625465, 'valid_loss': 3.517929, 'lr': [0.008]}
{'epoch': 162, 'train_loss': 1.1218272, 'valid_loss': 3.538901, 'lr': [0.008]}
{'epoch': 163, 'train_loss': 1.0659436, 'valid_loss': 3.5673912, 'lr': [0.008]}
{'epoch': 164, 'train_loss': 1.0787123, 'valid_loss': 3.5526612, 'lr': [0.008]}
{'epoch': 165, 'train_loss': 1.0993559, 'valid_loss': 3.5437806, 'lr': [0.008]}
{'epoch': 166, 'train_loss': 1.1076609, 'valid_loss': 3.5213497, 'lr': [0.008]}
{'epoch': 167, 'train_loss': 1.1206323, 'valid_loss': 3.5728471, 'lr': [0.008]}
{'epoch': 168, 'train_loss': 1.1293472, 'valid_loss': 3.553551, 'lr': [0.008]}
{'epoch': 169, 'train_loss': 1.1278924, 'valid_loss': 3.5737062, 'lr': [0.008]}
{'epoch': 170, 'train_loss': 1.1350156, 'valid_loss': 3.637275, 'lr': [0.008]}
{'epoch': 171, 'train_loss': 1.1360486, 'valid_loss': 3.6199849, 'lr': [0.008]}
{'epoch': 172, 'train_loss': 1.1584425, 'valid_loss': 3.6249702, 'lr': [0.008]}
{'epoch': 173, 'train_loss': 1.1338227, 'valid_loss': 3.5723996, 'lr': [0.008]}
{'epoch': 174, 'train_loss': 1.1280501, 'valid_loss': 3.546955, 'lr': [0.008]}
{'epoch': 175, 'train_loss': 1.0993207, 'valid_loss': 3.5595746, 'lr': [0.008]}
{'epoch': 176, 'train_loss': 1.0968745, 'valid_loss': 3.5481431, 'lr': [0.008]}
{'epoch': 177, 'train_loss': 1.0825071, 'valid_loss': 3.531467, 'lr': [0.008]}
{'epoch': 178, 'train_loss': 1.0634735, 'valid_loss': 3.5444002, 'lr': [0.008]}
{'epoch': 179, 'train_loss': 1.0366569, 'valid_loss': 3.5289485, 'lr': [0.008]}
{'epoch': 180, 'train_loss': 1.0584749, 'valid_loss': 3.5307536, 'lr': [0.008]}
{'epoch': 181, 'train_loss': 1.0351577, 'valid_loss': 3.5195942, 'lr': [0.008]}
{'epoch': 182, 'train_loss': 1.0702504, 'valid_loss': 3.5146854, 'lr': [0.008]}
{'epoch': 183, 'train_loss': 1.0998566, 'valid_loss': 3.5019715, 'lr': [0.008]}
{'epoch': 184, 'train_loss': 1.0591218, 'valid_loss': 3.4853654, 'lr': [0.008]}
{'epoch': 185, 'train_loss': 1.0462431, 'valid_loss': 3.5065582, 'lr': [0.008]}
{'epoch': 186, 'train_loss': 1.0395434, 'valid_loss': 3.491621, 'lr': [0.008]}
{'epoch': 187, 'train_loss': 1.0096653, 'valid_loss': 3.4922788, 'lr': [0.008]}
{'epoch': 188, 'train_loss': 0.9749998, 'valid_loss': 3.478716, 'lr': [0.008]}
{'epoch': 189, 'train_loss': 1.0243243, 'valid_loss': 3.466566, 'lr': [0.008]}
{'epoch': 190, 'train_loss': 1.0057868, 'valid_loss': 3.463245, 'lr': [0.008]}
{'epoch': 191, 'train_loss': 0.99472725, 'valid_loss': 3.471257, 'lr': [0.008]}
{'epoch': 192, 'train_loss': 0.9888987, 'valid_loss': 3.4388032, 'lr': [0.008]}
{'epoch': 193, 'train_loss': 0.9869434, 'valid_loss': 3.4106476, 'lr': [0.008]}
{'epoch': 194, 'train_loss': 0.98847747, 'valid_loss': 3.4126775, 'lr': [0.008]}
{'epoch': 195, 'train_loss': 0.96429086, 'valid_loss': 3.4052892, 'lr': [0.008]}
{'epoch': 196, 'train_loss': 0.95159423, 'valid_loss': 3.3903337, 'lr': [0.008]}
{'epoch': 197, 'train_loss': 0.9673059, 'valid_loss': 3.4317245, 'lr': [0.008]}
{'epoch': 198, 'train_loss': 0.9611878, 'valid_loss': 3.4089143, 'lr': [0.008]}
{'epoch': 199, 'train_loss': 0.91426754, 'valid_loss': 3.389974, 'lr': [0.008]}
{'epoch': 200, 'train_loss': 0.9401873, 'valid_loss': 3.386981, 'lr': [0.008]}
{'epoch': 201, 'train_loss': 0.95372194, 'valid_loss': 3.3974147, 'lr': [0.008]}
{'epoch': 202, 'train_loss': 0.9357764, 'valid_loss': 3.3721607, 'lr': [0.008]}
{'epoch': 203, 'train_loss': 0.89891547, 'valid_loss': 3.3574188, 'lr': [0.008]}
{'epoch': 204, 'train_loss': 0.8895738, 'valid_loss': 3.3566604, 'lr': [0.008]}
{'epoch': 205, 'train_loss': 0.88097465, 'valid_loss': 3.3420684, 'lr': [0.008]}
{'epoch': 206, 'train_loss': 0.8890662, 'valid_loss': 3.3392425, 'lr': [0.008]}
{'epoch': 207, 'train_loss': 0.88839304, 'valid_loss': 3.33152, 'lr': [0.008]}
{'epoch': 208, 'train_loss': 0.8677268, 'valid_loss': 3.3277485, 'lr': [0.008]}
{'epoch': 209, 'train_loss': 0.83368576, 'valid_loss': 3.3180702, 'lr': [0.008]}
{'epoch': 210, 'train_loss': 0.82869947, 'valid_loss': 3.317231, 'lr': [0.008]}
{'epoch': 211, 'train_loss': 0.8262448, 'valid_loss': 3.3265028, 'lr': [0.008]}
{'epoch': 212, 'train_loss': 0.83882105, 'valid_loss': 3.3179772, 'lr': [0.008]}
{'epoch': 213, 'train_loss': 0.8305086, 'valid_loss': 3.2907586, 'lr': [0.008]}
{'epoch': 214, 'train_loss': 0.8470195, 'valid_loss': 3.2882977, 'lr': [0.008]}
{'epoch': 215, 'train_loss': 0.8349624, 'valid_loss': 3.296004, 'lr': [0.008]}
{'epoch': 216, 'train_loss': 0.8298024, 'valid_loss': 3.2888315, 'lr': [0.008]}
{'epoch': 217, 'train_loss': 0.8219831, 'valid_loss': 3.285511, 'lr': [0.008]}
{'epoch': 218, 'train_loss': 0.824385, 'valid_loss': 3.2775812, 'lr': [0.008]}
{'epoch': 219, 'train_loss': 0.8331707, 'valid_loss': 3.2897153, 'lr': [0.008]}
{'epoch': 220, 'train_loss': 0.83727586, 'valid_loss': 3.272649, 'lr': [0.008]}
{'epoch': 221, 'train_loss': 0.8893019, 'valid_loss': 3.2483604, 'lr': [0.008]}
{'epoch': 222, 'train_loss': 0.8898374, 'valid_loss': 3.292254, 'lr': [0.008]}
{'epoch': 223, 'train_loss': 0.8686592, 'valid_loss': 3.2568297, 'lr': [0.008]}
{'epoch': 224, 'train_loss': 0.87841254, 'valid_loss': 3.244911, 'lr': [0.008]}
{'epoch': 225, 'train_loss': 0.8705363, 'valid_loss': 3.2617335, 'lr': [0.008]}
{'epoch': 226, 'train_loss': 0.8927452, 'valid_loss': 3.261731, 'lr': [0.008]}
{'epoch': 227, 'train_loss': 0.8664358, 'valid_loss': 3.2665558, 'lr': [0.008]}
{'epoch': 228, 'train_loss': 0.85656166, 'valid_loss': 3.2557473, 'lr': [0.008]}
{'epoch': 229, 'train_loss': 0.85196745, 'valid_loss': 3.259024, 'lr': [0.008]}
{'epoch': 230, 'train_loss': 0.8742839, 'valid_loss': 3.2401638, 'lr': [0.008]}
{'epoch': 231, 'train_loss': 0.84815514, 'valid_loss': 3.241752, 'lr': [0.008]}
{'epoch': 232, 'train_loss': 0.8265238, 'valid_loss': 3.2329812, 'lr': [0.008]}
{'epoch': 233, 'train_loss': 0.80516946, 'valid_loss': 3.2370455, 'lr': [0.008]}
{'epoch': 234, 'train_loss': 0.8061961, 'valid_loss': 3.2493408, 'lr': [0.008]}
{'epoch': 235, 'train_loss': 0.84257805, 'valid_loss': 3.2477849, 'lr': [0.008]}
{'epoch': 236, 'train_loss': 0.8059243, 'valid_loss': 3.2493815, 'lr': [0.008]}
{'epoch': 237, 'train_loss': 0.8134197, 'valid_loss': 3.2443442, 'lr': [0.008]}
{'epoch': 238, 'train_loss': 0.7961048, 'valid_loss': 3.2460127, 'lr': [0.008]}
{'epoch': 239, 'train_loss': 0.79695827, 'valid_loss': 3.250004, 'lr': [0.008]}
{'epoch': 240, 'train_loss': 0.7957331, 'valid_loss': 3.2373207, 'lr': [0.0064]}
{'epoch': 241, 'train_loss': 0.7930886, 'valid_loss': 3.2535987, 'lr': [0.0064]}
{'epoch': 242, 'train_loss': 0.80054265, 'valid_loss': 3.234484, 'lr': [0.0064]}
{'epoch': 243, 'train_loss': 0.7903224, 'valid_loss': 3.233136, 'lr': [0.0064]}
{'epoch': 244, 'train_loss': 0.80503815, 'valid_loss': 3.2326713, 'lr': [0.0064]}
{'epoch': 245, 'train_loss': 0.79669416, 'valid_loss': 3.2160277, 'lr': [0.0064]}
{'epoch': 246, 'train_loss': 0.76803887, 'valid_loss': 3.2163079, 'lr': [0.0064]}
{'epoch': 247, 'train_loss': 0.7504132, 'valid_loss': 3.2156007, 'lr': [0.0064]}
{'epoch': 248, 'train_loss': 0.76035947, 'valid_loss': 3.2195427, 'lr': [0.0064]}
{'epoch': 249, 'train_loss': 0.7785967, 'valid_loss': 3.2303343, 'lr': [0.0064]}
{'epoch': 250, 'train_loss': 0.7728567, 'valid_loss': 3.2242665, 'lr': [0.0064]}
{'epoch': 251, 'train_loss': 0.7634845, 'valid_loss': 3.2147975, 'lr': [0.0064]}
{'epoch': 252, 'train_loss': 0.75443834, 'valid_loss': 3.2026374, 'lr': [0.0064]}
{'epoch': 253, 'train_loss': 0.7434844, 'valid_loss': 3.1959796, 'lr': [0.0064]}
{'epoch': 254, 'train_loss': 0.7405001, 'valid_loss': 3.187814, 'lr': [0.0064]}
{'epoch': 255, 'train_loss': 0.7475954, 'valid_loss': 3.196104, 'lr': [0.0064]}
{'epoch': 256, 'train_loss': 0.727462, 'valid_loss': 3.1784022, 'lr': [0.0064]}
{'epoch': 257, 'train_loss': 0.7348331, 'valid_loss': 3.189876, 'lr': [0.0064]}
{'epoch': 258, 'train_loss': 0.729561, 'valid_loss': 3.1797116, 'lr': [0.0064]}
{'epoch': 259, 'train_loss': 0.7215007, 'valid_loss': 3.182776, 'lr': [0.0064]}
{'epoch': 260, 'train_loss': 0.73203146, 'valid_loss': 3.1595438, 'lr': [0.0064]}
{'epoch': 261, 'train_loss': 0.7294424, 'valid_loss': 3.158343, 'lr': [0.0064]}
{'epoch': 262, 'train_loss': 0.722845, 'valid_loss': 3.1424766, 'lr': [0.0064]}
{'epoch': 263, 'train_loss': 0.7143141, 'valid_loss': 3.137598, 'lr': [0.0064]}
{'epoch': 264, 'train_loss': 0.7037276, 'valid_loss': 3.128136, 'lr': [0.0064]}
